SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PACE_PER40,POSS,PIE
1996-97,1610612737,Atlanta Hawks,82,56,26,0.683,3961.0,2812,6307,0.446,659,1833,0.36,1491,1955,0.763,1021,2350,3371,1557,1228.0,701,427,332,1591,5,7774,446.0,106.4,100.3,6.2,0.554,1.27,15.5,0.334,0.67,0.505,0.168,0.498,0.542,88.54,73.78,7304,0.539
1996-97,1610612738,Boston Celtics,82,15,67,0.183,3981.0,3066,6967,0.44,467,1331,0.351,1649,2199,0.75,1094,2188,3282,1792,1342.0,811,315,557,1915,9,8248,-601.0,102.9,110.1,-7.2,0.584,1.34,16.1,0.329,0.658,0.482,0.167,0.474,0.52,96.78,80.65,8014,0.434
1996-97,1610612766,Charlotte Hornets,82,54,28,0.659,3960.8333333333335,2988,6342,0.471,591,1382,0.428,1541,1984,0.777,910,2298,3208,2021,1203.0,597,349,335,1702,15,8108,153.0,109.1,107.1,2.1,0.676,1.68,19.2,0.316,0.661,0.495,0.162,0.518,0.562,90.04,75.03,7429,0.528
1996-97,1610612741,Chicago Bulls,82,69,13,0.841,3945.8333333333335,3277,6923,0.473,523,1403,0.373,1381,1848,0.747,1235,2461,3696,2142,1109.0,717,332,286,1617,17,8458,886.0,112.4,100.7,11.8,0.654,1.93,19.4,0.374,0.67,0.524,0.147,0.511,0.547,91.5,76.25,7522,0.586
1996-97,1610612739,Cleveland Cavaliers,82,42,40,0.512,3971.0,2704,5972,0.453,483,1284,0.376,1282,1773,0.723,909,2159,3068,1714,1188.0,657,315,350,1882,20,7173,151.0,102.7,100.8,1.9,0.634,1.44,17.5,0.322,0.681,0.499,0.17,0.493,0.531,84.31,70.25,6983,0.512
1996-97,1610612742,Dallas Mavericks,82,24,58,0.293,3960.97,2812,6451,0.436,429,1315,0.326,1375,1918,0.717,1039,2263,3302,1662,1323.0,654,351,433,1798,15,7428,-522.0,99.5,106.0,-6.5,0.591,1.26,16.0,0.332,0.65,0.488,0.177,0.469,0.509,90.65,75.54,7464,0.448
1996-97,1610612743,Denver Nuggets,82,21,61,0.256,3986.0,2934,6687,0.439,636,1711,0.372,1516,1992,0.761,994,2452,3446,1889,1359.0,504,487,453,1784,19,8020,-515.0,103.1,109.7,-6.6,0.644,1.39,17.4,0.324,0.666,0.496,0.175,0.486,0.53,93.67,78.06,7776,0.461
1996-97,1610612765,Detroit Pistons,82,54,28,0.659,3966.0,2827,6095,0.464,582,1499,0.388,1487,1995,0.745,858,2292,3150,1554,1042.0,633,283,281,1651,15,7723,430.0,108.5,102.6,5.9,0.55,1.49,16.1,0.302,0.675,0.492,0.146,0.512,0.554,86.09,71.74,7120,0.53
1996-97,1610612744,Golden State Warriors,82,30,52,0.366,3980.681666666667,2996,6566,0.456,481,1363,0.353,1696,2180,0.778,1086,2258,3344,1821,1410.0,612,359,395,1787,5,8169,-388.0,105.3,110.3,-5.0,0.608,1.29,16.8,0.347,0.648,0.497,0.182,0.493,0.543,93.58,77.98,7761,0.464
1996-97,1610612745,Houston Rockets,82,57,25,0.695,3970.908333333333,3037,6484,0.468,671,1839,0.365,1503,1992,0.755,927,2565,3492,2013,1365.0,688,347,365,1610,15,8248,367.0,107.5,102.8,4.7,0.663,1.47,18.7,0.318,0.692,0.514,0.178,0.52,0.56,92.73,77.27,7674,0.536
