SEASON,ALL_NBA_TM,PLAYER_NAME
1996-97,1st,Grant Hill
1996-97,1st,Hakeem Olajuwon
1996-97,1st,Karl Malone
1996-97,1st,Michael Jordan
1996-97,1st,Tim Hardaway
1996-97,2nd,Gary Payton
1996-97,2nd,Glen Rice
1996-97,2nd,Mitch Richmond
1996-97,2nd,Patrick Ewing
1996-97,2nd,Scottie Pippen
1996-97,3rd,Anfernee Hardaway
1996-97,3rd,Anthony Mason
1996-97,3rd,John Stockton
1996-97,3rd,Shaquille O'Neal
1996-97,3rd,Vin Baker
1997-98,1st,Gary Payton
1997-98,1st,Karl Malone
1997-98,1st,Michael Jordan
1997-98,1st,Shaquille O'Neal
1997-98,1st,Tim Duncan
1997-98,2nd,David Robinson
1997-98,2nd,Grant Hill
1997-98,2nd,Rod Strickland
1997-98,2nd,Tim Hardaway
1997-98,2nd,Vin Baker
1997-98,3rd,Dikembe Mutombo
1997-98,3rd,Glen Rice
1997-98,3rd,Mitch Richmond
1997-98,3rd,Reggie Miller
1997-98,3rd,Scottie Pippen
1998-99,1st,Allen Iverson
1998-99,1st,Alonzo Mourning
1998-99,1st,Jason Kidd
1998-99,1st,Karl Malone
1998-99,1st,Tim Duncan
1998-99,2nd,Chris Webber
1998-99,2nd,Gary Payton
1998-99,2nd,Grant Hill
1998-99,2nd,Shaquille O'Neal
1998-99,2nd,Tim Hardaway
1998-99,3rd,Antonio McDyess
1998-99,3rd,Hakeem Olajuwon
1998-99,3rd,John Stockton
1998-99,3rd,Kevin Garnett
1998-99,3rd,Kobe Bryant
1999-00,1st,Gary Payton
1999-00,1st,Jason Kidd
1999-00,1st,Kevin Garnett
1999-00,1st,Shaquille O'Neal
1999-00,1st,Tim Duncan
1999-00,2nd,Allen Iverson
1999-00,2nd,Alonzo Mourning
1999-00,2nd,Grant Hill
1999-00,2nd,Karl Malone
1999-00,2nd,Kobe Bryant
1999-00,3rd,Chris Webber
1999-00,3rd,David Robinson
1999-00,3rd,Eddie Jones
1999-00,3rd,Stephon Marbury
1999-00,3rd,Vince Carter
2000-01,1st,Allen Iverson
2000-01,1st,Chris Webber
2000-01,1st,Jason Kidd
2000-01,1st,Shaquille O'Neal
2000-01,1st,Tim Duncan
2000-01,2nd,Dikembe Mutombo
2000-01,2nd,Kevin Garnett
2000-01,2nd,Kobe Bryant
2000-01,2nd,Tracy McGrady
2000-01,2nd,Vince Carter
2000-01,3rd,David Robinson
2000-01,3rd,Dirk Nowitzki
2000-01,3rd,Gary Payton
2000-01,3rd,Karl Malone
2000-01,3rd,Ray Allen
2001-02,1st,Jason Kidd
2001-02,1st,Kobe Bryant
2001-02,1st,Shaquille O'Neal
2001-02,1st,Tim Duncan
2001-02,1st,Tracy McGrady
2001-02,2nd,Allen Iverson
2001-02,2nd,Chris Webber
2001-02,2nd,Dirk Nowitzki
2001-02,2nd,Gary Payton
2001-02,2nd,Kevin Garnett
2001-02,3rd,Ben Wallace
2001-02,3rd,Dikembe Mutombo
2001-02,3rd,Jermaine O'Neal
2001-02,3rd,Paul Pierce
2001-02,3rd,Steve Nash
2002-03,1st,Kevin Garnett
2002-03,1st,Kobe Bryant
2002-03,1st,Shaquille O'Neal
2002-03,1st,Tim Duncan
2002-03,1st,Tracy McGrady
2002-03,2nd,Allen Iverson
2002-03,2nd,Ben Wallace
2002-03,2nd,Chris Webber
2002-03,2nd,Dirk Nowitzki
2002-03,2nd,Jason Kidd
2002-03,3rd,Jamal Mashburn
2002-03,3rd,Jermaine O'Neal
2002-03,3rd,Paul Pierce
2002-03,3rd,Stephon Marbury
2002-03,3rd,Steve Nash
2003-04,1st,Jason Kidd
2003-04,1st,Kevin Garnett
2003-04,1st,Kobe Bryant
2003-04,1st,Shaquille O'Neal
2003-04,1st,Tim Duncan
2003-04,2nd,Ben Wallace
2003-04,2nd,Jermaine O'Neal
2003-04,2nd,Peja Stojakovic
2003-04,2nd,Sam Cassell
2003-04,2nd,Tracy McGrady
2003-04,3rd,Baron Davis
2003-04,3rd,Dirk Nowitzki
2003-04,3rd,Metta World Peace
2003-04,3rd,Michael Redd
2003-04,3rd,Yao Ming
2004-05,1st,Allen Iverson
2004-05,1st,Dirk Nowitzki
2004-05,1st,Shaquille O'Neal
2004-05,1st,Steve Nash
2004-05,1st,Tim Duncan
2004-05,2nd,Amar'e Stoudemire
2004-05,2nd,Dwyane Wade
2004-05,2nd,Kevin Garnett
2004-05,2nd,LeBron James
2004-05,2nd,Ray Allen
2004-05,3rd,Ben Wallace
2004-05,3rd,Gilbert Arenas
2004-05,3rd,Kobe Bryant
2004-05,3rd,Shawn Marion
2004-05,3rd,Tracy McGrady
2005-06,1st,Dirk Nowitzki
2005-06,1st,Kobe Bryant
2005-06,1st,LeBron James
2005-06,1st,Shaquille O'Neal
2005-06,1st,Steve Nash
2005-06,2nd,Ben Wallace
2005-06,2nd,Chauncey Billups
2005-06,2nd,Dwyane Wade
2005-06,2nd,Elton Brand
2005-06,2nd,Tim Duncan
2005-06,3rd,Allen Iverson
2005-06,3rd,Carmelo Anthony
2005-06,3rd,Gilbert Arenas
2005-06,3rd,Shawn Marion
2005-06,3rd,Yao Ming
2006-07,1st,Amar'e Stoudemire
2006-07,1st,Dirk Nowitzki
2006-07,1st,Kobe Bryant
2006-07,1st,Steve Nash
2006-07,1st,Tim Duncan
2006-07,2nd,Chris Bosh
2006-07,2nd,Gilbert Arenas
2006-07,2nd,LeBron James
2006-07,2nd,Tracy McGrady
2006-07,2nd,Yao Ming
2006-07,3rd,Carmelo Anthony
2006-07,3rd,Chauncey Billups
2006-07,3rd,Dwight Howard
2006-07,3rd,Dwyane Wade
2006-07,3rd,Kevin Garnett
2007-08,1st,Chris Paul
2007-08,1st,Dwight Howard
2007-08,1st,Kevin Garnett
2007-08,1st,Kobe Bryant
2007-08,1st,LeBron James
2007-08,2nd,Amar'e Stoudemire
2007-08,2nd,Deron Williams
2007-08,2nd,Dirk Nowitzki
2007-08,2nd,Steve Nash
2007-08,2nd,Tim Duncan
2007-08,3rd,Carlos Boozer
2007-08,3rd,Manu Ginobili
2007-08,3rd,Paul Pierce
2007-08,3rd,Tracy McGrady
2007-08,3rd,Yao Ming
2008-09,1st,Dirk Nowitzki
2008-09,1st,Dwight Howard
2008-09,1st,Dwyane Wade
2008-09,1st,Kobe Bryant
2008-09,1st,LeBron James
2008-09,2nd,Brandon Roy
2008-09,2nd,Chris Paul
2008-09,2nd,Paul Pierce
2008-09,2nd,Tim Duncan
2008-09,2nd,Yao Ming
2008-09,3rd,Carmelo Anthony
2008-09,3rd,Chauncey Billups
2008-09,3rd,Pau Gasol
2008-09,3rd,Shaquille O'Neal
2008-09,3rd,Tony Parker
2009-10,1st,Dwight Howard
2009-10,1st,Dwyane Wade
2009-10,1st,Kevin Durant
2009-10,1st,Kobe Bryant
2009-10,1st,LeBron James
2009-10,2nd,Amar'e Stoudemire
2009-10,2nd,Carmelo Anthony
2009-10,2nd,Deron Williams
2009-10,2nd,Dirk Nowitzki
2009-10,2nd,Steve Nash
2009-10,3rd,Andrew Bogut
2009-10,3rd,Brandon Roy
2009-10,3rd,Joe Johnson
2009-10,3rd,Pau Gasol
2009-10,3rd,Tim Duncan
2010-11,1st,Derrick Rose
2010-11,1st,Dwight Howard
2010-11,1st,Kevin Durant
2010-11,1st,Kobe Bryant
