SEASON,PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_ID,TEAM_ID,GP,MIN,PTS,REB,AST,STL,BLK,OFF_RATING,DEF_RATING,TS_PCT,USG_PCT,PIE,WS,PER,ALL_NBA,ALL_NBA_TM
1996-97,A.C. Green,DAL,920,1610612742,83,2494.3,7.19,7.9,0.83,0.84,0.19,97.4,104.8,0.523,0.118,0.098,-0.1,13.67,0,0
1996-97,Aaron McKie,DET,243,1610612765,83,1623.91,5.22,2.66,1.94,0.93,0.27,101.5,97.8,0.524,0.142,0.095,4.05,14.96,0,0
1996-97,Aaron Williams,VAN,1425,1610612763,33,562.42,6.15,4.33,0.45,0.48,0.88,93.3,102.6,0.599,0.161,0.112,1.35,15.13,0,0
1996-97,Acie Earl,MIL,768,1610612749,47,500.14,4.0,2.04,0.43,0.32,0.6,93.6,100.0,0.435,0.22,0.056,0.13,14.24,0,0
1996-97,Adam Keefe,UTA,228,1610612762,62,916.79,3.79,3.48,0.52,0.48,0.21,106.6,99.4,0.572,0.124,0.083,3.19,12.44,0,0
1996-97,Adrian Caldwell,PHI,154,1610612755,45,571.61,2.24,3.71,0.27,0.36,0.18,101.8,108.3,0.443,0.102,0.04,-1.78,9.31,0,0
1996-97,Alan Henderson,ATL,673,1610612737,30,498.36,6.63,3.87,0.77,0.7,0.2,104.8,112.4,0.51,0.197,0.075,-2.11,16.63,0,0
1996-97,Aleksandar Djordjevic,POR,1059,1610612757,8,62.2,3.12,0.62,0.62,0.0,0.0,95.9,90.8,0.687,0.168,0.113,0.44,14.24,0,0
1996-97,Allan Houston,NYK,275,1610612752,81,2681.3,14.78,2.96,2.21,0.51,0.22,101.3,99.4,0.531,0.218,0.078,0.72,15.87,0,0
1996-97,Allen Iverson,PHI,947,1610612755,76,3041.41,23.51,4.11,7.46,2.07,0.32,104.3,111.4,0.513,0.281,0.107,-12.51,21.88,0,0
1996-97,Alonzo Mourning,MIA,297,1610612748,66,2320.25,19.85,9.94,1.58,0.85,2.86,106.7,95.6,0.578,0.274,0.155,13.18,21.71,0,0
1996-97,Alton Lister,BOS,175,1610612738,53,515.11,1.64,3.17,0.25,0.15,0.26,98.2,108.9,0.48,0.099,0.044,-1.04,8.62,0,0
